City,Country,Venue,Tour,Revenue,Tickets_Sold,Tickets_Available
Glendale,United States,Jobing.com Arena,The_Red_Tour,2239370,26705,26705
Salt Lake City,United States,EnergySolutions Arena,The_Red_Tour,1139360,14007,14007
Denver,United States,Pepsi Center,The_Red_Tour,1076069,13489,13489
Toronto,Canada,Rogers Centre,The_Red_Tour,7863310,87627,87627
Toronto,Canada,Rogers Centre,The_Red_Tour,7863310,87627,87627
Winnipeg,Canada,Investors Group Field,The_Red_Tour,3175430,33061,33061
Edmonton,Canada,Rexall Place,The_Red_Tour,2379870,25663,25663
Edmonton,Canada,Rexall Place,The_Red_Tour,2379870,25663,25663
Vancouver,Canada,BC Place Stadium,The_Red_Tour,3974410,41142,41142
Pittsburgh,United States,Heinz Field,The_Red_Tour,4718518,56047,56047
East Rutherford,United States,MetLife Stadium,The_Red_Tour,4670011,52399,52399
Philadelphia,United States,Lincoln Financial Field,The_Red_Tour,8822335,101277,101277
Philadelphia,United States,Lincoln Financial Field,The_Red_Tour,8822335,101277,101277
Foxborough,United States,Gillette Stadium,The_Red_Tour,9464063,110712,110712
Foxborough,United States,Gillette Stadium,The_Red_Tour,9464063,110712,110712
Des Moines,United States,Wells Fargo Arena,The_Red_Tour,1075576,13368,13368
Kansas City,United States,Sprint Center,The_Red_Tour,2093172,26412,26412
Kansas City,United States,Sprint Center,The_Red_Tour,2093172,26412,26412
Wichita,United States,Intrust Bank Arena,The_Red_Tour,983882,12231,12231
Tulsa,United States,BOK Center,The_Red_Tour,868955,10949,10949
Chicago,United States,Soldier Field,The_Red_Tour,4149148,50809,50809
San Diego,United States,Valley View Casino Center,The_Red_Tour,948541,10872,10872
Los Angeles,United States,Staples Center,The_Red_Tour,4734463,55829,55829
Los Angeles,United States,Staples Center,The_Red_Tour,4734463,55829,55829
Los Angeles,United States,Staples Center,The_Red_Tour,4734463,55829,55829
Los Angeles,United States,Staples Center,The_Red_Tour,4734463,55829,55829
Sacramento,United States,Sleep Train Arena,The_Red_Tour,1138103,12795,12795
Portland,United States,Moda Center,The_Red_Tour,1084760,13952,13952
Tacoma,United States,Tacoma Dome,The_Red_Tour,1584049,20348,20348
Fargo,United States,Fargodome,The_Red_Tour,1661578,21073,21073
Saint Paul,United States,Xcel Energy Center,The_Red_Tour,2320937,28920,28920
Saint Paul,United States,Xcel Energy Center,The_Red_Tour,2320937,28920,28920
Greensboro,United States,Greensboro Coliseum,The_Red_Tour,1109253,13650,13650
Raleigh,United States,PNC Arena,The_Red_Tour,1088612,13941,13941
Charlottesville,United States,John Paul Jones Arena,The_Red_Tour,997216,12689,12689
Nashville,United States,Bridgestone Arena,The_Red_Tour,3336545,41292,41292
Nashville,United States,Bridgestone Arena,The_Red_Tour,3336545,41292,41292
Nashville,United States,Bridgestone Arena,The_Red_Tour,3336545,41292,41292
Auckland,New Zealand,Vector Arena,The_Red_Tour,3100290,30799,30799
Auckland,New Zealand,Vector Arena,The_Red_Tour,3100290,30799,30799
Auckland,New Zealand,Vector Arena,The_Red_Tour,3100290,30799,30799
Sydney,Australia,Allianz Stadium,The_Red_Tour,4096060,40930,40930
Brisbane,Australia,Suncorp Stadium,The_Red_Tour,3895810,38907,38907
Perth,Australia,Perth Rectangular Stadium,The_Red_Tour,2364080,21827,21827
Melbourne,Australia,Etihad Stadium,The_Red_Tour,4547250,47257,47257
London,England,The O2 Arena,The_Red_Tour,5829240,74740,74740
London,England,The O2 Arena,The_Red_Tour,5829240,74740,74740
London,England,The O2 Arena,The_Red_Tour,5829240,74740,74740
Berlin,Germany,O2 World,The_Red_Tour,755006,10350,10350
Shanghai,China,Mercedes-Benz Arena,The_Red_Tour,1864934,12793,12793
Saitama,Japan,Saitama Super Arena,The_Red_Tour,1837147,20046,20046
Jakarta,Indonesia,MEIS Ancol,The_Red_Tour,1481473,8130,8130
Pasay,Philippines,Mall of Asia Arena,The_Red_Tour,1511662,9775,9775
Singapore,Singapore,Singapore Indoor Stadium,The_Red_Tour,2524080,16344,16344
Kuala Lumpur,Malaysia,Putra Indoor Stadium,The_Red_Tour,998608,7525,7525
Tokyo,Japan,Tokyo Dome,The_1989_World_Tour,10586828,100320,100320
Tokyo,Japan,Tokyo Dome,The_1989_World_Tour,10586828,100320,100320
Bossier City,United States,CenturyLink Center,The_1989_World_Tour,1458197,12459,12459
Baton Rouge,United States,LSU Tiger Stadium,The_1989_World_Tour,4119670,50227,50227
Detroit,United States,Ford Field,The_1989_World_Tour,5999690,50703,50703
Louisville,United States,KFC Yum! Center,The_1989_World_Tour,1863281,16242,16242
Cleveland,United States,Quicken Loans Arena,The_1989_World_Tour,1732041,15503,15503
Pittsburgh,United States,Heinz Field,The_1989_World_Tour,5836926,54801,54801
